CGPA,Branch,Role,Duration,Offer type,Gender,Company,Industry,Stpd,CTC,Details,No. of students placed,Additional Info
8.86,CO,SDE,6M + PPO,PPO,M,McCain,Financial Technology,,20,,,
8.9,CO,SDE,6M + PPO,PPO,F,McCain,Financial Technology,,20,,,
8.24,CO,SDE,6M + PPO,PPO,F,McCain,Financial Technology,,20,,,
8.81,IT,SDE,6M + PPO,PPO,F,McCain,Financial Technology,,20,,,
8.42,IT,SDE,6M + PPO,PPO,M,McCain,Financial Technology,,20,,,
9.22,SE,SDE,6M + PPO,PPO,M,McCain,Financial Technology,,20,,,
8.82,SE,SDE,6M + PPO,PPO,M,McCain,Financial Technology,,20,,,
8.3,SE,SDE,6M + PPO,PPO,M,McCain,Financial Technology,,20,,,
8.33,ECE,Core,6M + FTE,6M+FTE,M,Synopsys,IT Services,40,20,"40K pm
20 lpa",4,ASIC Digital Design
8.11,EE,Core,6M + FTE,6M+FTE,M,Synopsys,IT Services,40,20,,,
8.18,EE,Core,6M + FTE,6M+FTE,M,Synopsys,IT Services,40,20,,,
8.77,EE,Core,6M + FTE,6M+FTE,M,Synopsys,IT Services,40,20,,,Memory
8.17,CO,SDE,6M + PPO,PPO,M,ClearTax,Technology,,20,20 lpa,5,
8.22,CO,SDE,6M + PPO,PPO,M,ClearTax,Technology,,20,,,
8.71,ECE,SDE,6M + PPO,PPO,M,ClearTax,Technology,,20,,,
8.29,ECE,SDE,6M + PPO,PPO,M,ClearTax,Technology,,20,,,
8.55,EE,SDE,6M + PPO,PPO,M,ClearTax,Technology,,20,,,
8.41,CO,SDE,FTE,Full-time,M,HCL Tech,Financial Services,,20,18 + 2 lpa,5,
8.26,CO,SDE,FTE,Full-time,M,HCL Tech,Financial Services,,20,,,
8.63,CO,SDE,FTE,Full-time,M,HCL Tech,Financial Services,,20,,,
8.72,IT,SDE,FTE,Full-time,F,HCL Tech,Financial Services,,20,,,
7.95,MCE,SDE,FTE,Full-time,M,HCL Tech,Financial Services,,20,,,
No data,CO,SDE,6M + PPO,PPO,M,Nykaa,Cybersecurity,60,20,"20 lpa
(18 + 2)",2,Backend Software Engineer
8.04,IT,SDE,6M + PPO,PPO,M,Nykaa,Cybersecurity,60,20,,,
No data,IT,SDE,FTE,Full-time,M,JPMC Code for Good,Healthcare,,19.75,19.75 lpa,3,
9.18,IT,SDE,FTE,Full-time,F,JPMC Code for Good,Healthcare,,19.75,,,
8.86,MCE,SDE,FTE,Full-time,M,JPMC Code for Good,Healthcare,,19.75,,,
8.6,CO,SDE,FTE,Full-time,M,AlgoSec,Technology,,18.5,"18.5 lpa
(fixed)",5,"Development Engineer
(Automation)"
8.69,IT,SDE,FTE,Full-time,M,AlgoSec,Technology,,18.5,,,
9.09,SE,SDE,FTE,Full-time,M,AlgoSec,Technology,,18.5,,,
8.9,SE,SDE,FTE,Full-time,M,AlgoSec,Technology,,18.5,,,
8.88,MCE,SDE,FTE,Full-time,M,AlgoSec,Technology,,18.5,,,
9.38,CO,SDE,FTE,Full-time,F,Optum,Consulting,,18.5,"18.5 lpa

(15.5 lpa base)",12,
9.26,CO,SDE,FTE,Full-time,M,Optum,Consulting,,18.5,,,
8.58,CO,SDE,FTE,Full-time,M,Optum,Consulting,,18.5,,,
9.43,CO,SDE,FTE,Full-time,F,Optum,Consulting,,18.5,,,
8.56,CO,SDE,FTE,Full-time,F,Optum,Consulting,,18.5,,,
9.56,CO,SDE,FTE,Full-time,F,Optum,Consulting,,18.5,,,
8.73,CO,SDE,FTE,Full-time,M,Optum,Consulting,,18.5,,,
8.64,CO,SDE,FTE,Full-time,M,Optum,Consulting,,18.5,,,
8.61,SE,SDE,FTE,Full-time,M,Optum,Consulting,,18.5,,,
8.48,SE,SDE,FTE,Full-time,M,Optum,Consulting,,18.5,,,
7.11,MCE,SDE,FTE,Full-time,F,Optum,Consulting,,18.5,,,
8.96,ECE,SDE,FTE,Full-time,M,Optum,Consulting,,18.5,,,
9.01,CO,SDE,FTE,Full-time,M,Barco,Financial Services,,18,18 lpa,2,
9.19,CO,SDE,FTE,Full-time,M,Barco,Financial Services,,18,,,
8.28,CO,SDE,FTE,Full-time,M,GEP,Telecommunications,,18,18 lpa,5,
7.52,CO,SDE,FTE,Full-time,M,GEP,Telecommunications,,18,,,
8.49,CO,SDE,FTE,Full-time,M,GEP,Telecommunications,,18,,,
8.31,IT,SDE,FTE,Full-time,M,GEP,Telecommunications,,18,,,
7.96,MCE,SDE,FTE,Full-time,M,GEP,Telecommunications,,18,,,
8.54,MCE,SDE,6M + PPO,PPO,M,Moody's,Pharmaceuticals,26,18,"26K pm
12 - 18 lpa",2,
9.32,EP,SDE,6M + PPO,PPO,M,Moody's,Pharmaceuticals,26,18,,,
No data,CO,SDE,6M + FTE,6M+FTE,M,Trinity Life Sciences,Healthcare,75,17.4,13.35 fixed + 3 joining bonus + 10% bonus,1,5M + FTE
9.48,CO,SDE,FTE,Full-time,F,ION Group,Healthcare,,17.3,17.3 lpa,5,
8.96,IT,SDE,FTE,Full-time,M,ION Group,Healthcare,,17.3,,,
8.31,IT,SDE,FTE,Full-time,M,ION Group,Healthcare,,17.3,,,
8.81,MCE,SDE,FTE,Full-time,M,ION Group,Healthcare,,17.3,,,
8.94,MCE,SDE,FTE,Full-time,M,ION Group,Healthcare,,17.3,,,
7.61,MCE,Analyst,FTE,Full-time,F,ION Group,Healthcare,,17.3,,3,Technical Analyst
9.03,MCE,Analyst,FTE,Full-time,F,ION Group,Healthcare,,17.3,,,
8.03,ECE,Analyst,FTE,Full-time,M,ION Group,Healthcare,,17.3,,,
8.44,CO,SDE,6M + FTE,6M+FTE,M,BT Group,Healthcare,60,17,13 + 1.5 bonus + 2.5 retention,2,
8.81,IT,SDE,6M + FTE,6M+FTE,M,BT Group,Healthcare,60,17,,,
7.93,CO,SDE,FTE,Full-time,M,BT Group,Healthcare,,17,17 lpa,3,Junior Analyst Developer
8.58,IT,SDE,FTE,Full-time,M,BT Group,Healthcare,,17,,,
